video_name,frame_idx,caption
Reverse,119,blank,The man is moving his hands back and forth.
Reverse,119,determine,The pedestrian is making a stop gesture.
Reverse,119,bodyanalysis,"The pedestrian is a man wearing glasses and a black shirt. He is standing in front of a plain background, with his arms extended forward and palms facing outward. His hands are moving slightly up and down as if he is gesturing or explaining something."
Reverse,119,context,The pedestrian is making a stop gesture.
Reverse,119,objective,The pedestrian is making a stop gesture.
Reverse,127,blank,The man is moving his hands in a circular motion.
Reverse,127,determine,The pedestrian is making a stop gesture.
Reverse,127,bodyanalysis,"The pedestrian is a man wearing glasses and a dark-colored t-shirt. He stands in front of a plain background, with his arms extended outward at shoulder height. His hands are open and palms facing forward, as if he is gesturing or presenting something. The motion of his hands appears to be slow and deliberate, moving slightly up and down while maintaining the same position relative to his body."
Reverse,127,context,The pedestrian is making a stop gesture.
Reverse,127,objective,stop
Reverse,135,blank,The man is moving his hands in a circular motion.
Reverse,135,determine,The pedestrian is making a stop gesture.
Reverse,135,bodyanalysis,"The pedestrian is standing in front of a white wall, wearing glasses and a dark-colored t-shirt. With his arms extended forward at chest level, he moves them up and down rhythmically while keeping his hands open with fingers spread apart. His movements are smooth and continuous throughout the video."
Reverse,135,context,The pedestrian is making a stop gesture.
Reverse,135,objective,The pedestrian is making a stop gesture.
Stop + drive2,196,blank,"A man is standing in front of a white screen, moving his arms and head rhythmically."
Stop + drive2,196,determine,The pedestrian is making a gesture with his right hand.
Stop + drive2,196,bodyanalysis,"The pedestrian is a young man with short, light brown hair and glasses. He is wearing a black long-sleeved shirt. His body posture suggests he is in motion, possibly walking or running. The video captures him from various angles, showing his dynamic movements as he progresses through the scene."
Stop + drive2,196,context,The pedestrian is making a waving gesture.
Stop + drive2,196,objective,"The pedestrian is making a gesture with their right hand, which appears to be pointing or indicating something."
Stop + drive2,204,blank,The man raises his hand and waves it back and forth.
Stop + drive2,204,determine,The pedestrian is making a stop gesture.
Stop + drive2,204,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands in front of a plain background, extending his right arm forward with an open hand as if gesturing or signaling something. His posture remains steady throughout the video, maintaining focus on his extended hand against the neutral backdrop."
Stop + drive2,204,context,The pedestrian is making a stop gesture.
Stop + drive2,204,objective,stop
Stop + drive2,212,blank,"A man is standing in front of a white wall, wearing glasses and holding his hand up."
Stop + drive2,212,determine,The pedestrian is making a stop gesture.
Stop + drive2,212,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He has short, light-colored hair. His right arm is extended forward with his palm facing outward in a stopping gesture. The background is plain and gray."
Stop + drive2,212,context,The pedestrian is making a stop gesture.
Stop + drive2,212,objective,stop
Stop + drive2,220,blank,A man in a black shirt is standing with his right arm extended and palm facing outward.
Stop + drive2,220,determine,The pedestrian is making a stop gesture with his hand.
Stop + drive2,220,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain background, with his right arm extended forward and his left arm slightly bent at the elbow. His body posture suggests he might be gesturing or pointing towards something off-camera."
Stop + drive2,220,context,The pedestrian is making a stop gesture.
Stop + drive2,220,objective,stop
Stop + drive2,228,blank,The man is demonstrating a martial arts move.
Stop + drive2,228,determine,The pedestrian is making a stop gesture.
Stop + drive2,228,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands with his right arm extended forward, pointing to the left side of the frame. His left hand is raised in front of him, palm facing outward as if signaling ""stop"" or indicating something specific. The background is plain and light-colored, providing a clear contrast to his dark attire."
Stop + drive2,228,context,The pedestrian is making a stop gesture.
Stop + drive2,228,objective,The pedestrian is making a stop gesture.
Stop + drive2,236,blank,A man in a black shirt is standing with his arms outstretched.
Stop + drive2,236,determine,The pedestrian is making a stop gesture with his hand.
Stop + drive2,236,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain background, with his right arm extended forward and his left hand raised with the palm facing outward as if signaling ""stop."" His body posture suggests he might be demonstrating or explaining something related to traffic signals or safety instructions."
Stop + drive2,236,context,The pedestrian is making a stop gesture.
Stop + drive2,236,objective,The pedestrian is signaling to stop.
Stop + drive2,244,blank,A man in a black shirt is standing with his arms outstretched.
Stop + drive2,244,determine,The pedestrian is making a stop gesture.
Stop + drive2,244,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain white background. His right arm is extended outward with his hand open, palm facing forward, as if he is signaling to stop or halt something. The motion appears to be static, with no visible movement other than the initial gesture."
Stop + drive2,244,context,The pedestrian is making a stop gesture.
Stop + drive2,244,objective,The pedestrian is making a stop gesture.
Stop + drive2,252,blank,The person is extending their hand and pointing.
Stop + drive2,252,determine,The pedestrian is making a stop gesture.
Stop + drive2,252,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands with his right arm extended forward, pointing to the left side of the frame. His left hand is raised in front of him, palm facing outward as if signaling ""stop"" or indicating something specific. The background is plain and light-colored, providing a clear view of his actions."
Stop + drive2,252,context,The pedestrian is making a stop gesture.
Stop + drive2,252,objective,The pedestrian is making a stop gesture.
Stop + drive2,260,blank,"A man is standing in front of a white wall, wearing glasses and a black shirt. He has his arms outstretched with palms facing forward as if he's trying to stop something or someone from coming closer."
Stop + drive2,260,determine,The pedestrian is making a stop gesture.
Stop + drive2,260,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain background, possibly a stage or presentation area. His arms are extended outward with his palms facing forward, as if he is gesturing to emphasize a point or directing attention. The motion appears deliberate and focused, suggesting that he might be giving a speech or presenting something important."
Stop + drive2,260,context,The pedestrian is making a stop gesture.
Stop + drive2,260,objective,The pedestrian is making a stop gesture.
Stop + drive2,268,blank,"A man is standing in front of a white wall, moving his hands back and forth."
Stop + drive2,268,determine,The pedestrian is making a stop gesture.
Stop + drive2,268,bodyanalysis,"The pedestrian is a man wearing glasses and a black shirt. He is standing in front of a gray background, with his right arm extended forward and his left hand raised as if he is about to catch something or gesture towards someone. His body posture suggests that he might be engaged in some form of communication or demonstration."
Stop + drive2,268,context,The pedestrian is making a stop gesture.
Stop + drive2,268,objective,The pedestrian is making a stop gesture.
Stop + drive2,276,blank,A man is standing in front of a white wall. He extends his right arm and points with his index finger while holding up his left hand palm out as if to stop something.
Stop + drive2,276,determine,The pedestrian is making a stop gesture.
Stop + drive2,276,bodyanalysis,"The pedestrian is a man wearing glasses and a black shirt. He is standing in front of a white background, with his right arm extended forward and his left hand raised to the side. His body posture suggests he is making a gesture or signal, possibly indicating ""stop"" or ""wait."" The motion appears static as there is no visible movement captured in the video."
Stop + drive2,276,context,The pedestrian is making a stop gesture.
Stop + drive2,276,objective,The pedestrian is making a stop gesture.
Getting a cap,218,blank,"A man in a black shirt and glasses is standing against a white wall. He raises his right hand, palm facing outward, as if to signal ""stop"" or indicate something on the wall behind him."
Getting a cap,218,determine,The pedestrian is waving his hand.
Getting a cap,218,bodyanalysis,"The pedestrian is a man wearing glasses and dressed in a black long-sleeved shirt. He stands against a plain white wall, initially facing the camera with his arms at his sides. As he begins to move his right arm up and down, it creates a blur effect due to its rapid motion. His left hand remains still throughout this action, while his body stays mostly stationary."
Getting a cap,218,context,The pedestrian is waving their hand.
Getting a cap,218,objective,The pedestrian is making a stop gesture.
Getting a cap,226,blank,A man in a black shirt is standing against a white wall.
Getting a cap,226,determine,The pedestrian is waving their hand in the air.
Getting a cap,226,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands in front of a white wall, with his right arm raised high above his head, palm facing forward as if signaling to stop or indicating something at a distance. His left hand hangs by his side, while he maintains this position throughout the video."
Getting a cap,226,context,The pedestrian is waving their hand in the air.
Getting a cap,226,objective,"The pedestrian is raising their right hand, which could indicate a stop or caution signal."
Getting a cap,234,blank,"A man is standing in front of a white wall, raising his right hand and holding it up."
Getting a cap,234,determine,The pedestrian is making a waving gesture.
Getting a cap,234,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He has his right arm raised with his hand open, as if he is waving or gesturing towards something. His left arm is bent at the elbow, with the fist clenched near his waist. The man appears to be standing still against a plain white wall."
Getting a cap,234,context,The pedestrian is waving.
Getting a cap,234,objective,"The pedestrian is raising his right arm, which could indicate a stop or caution signal."
Getting a cap,242,blank,"A man in a black shirt and glasses is standing with his right arm raised, waving."
Getting a cap,242,determine,The pedestrian is making a waving gesture.
Getting a cap,242,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He has his right arm raised with an open hand, as if waving or gesturing. His left arm is bent at the elbow with his fist clenched near his waist. The man appears to be standing still against a plain white wall."
Getting a cap,242,context,The pedestrian is waving their hand.
Getting a cap,242,objective,The pedestrian is waving.
Go forward,107,blank,A man in a black shirt is standing with his arms outstretched.
Go forward,107,determine,The pedestrian is making a gesture with his hands.
Go forward,107,bodyanalysis,"The pedestrian is a man wearing glasses and a dark-colored long-sleeved shirt. He stands in front of a plain background, facing the camera with his arms extended outward at shoulder height. His hands are open and slightly raised, fingers spread apart as if gesturing or explaining something. Throughout the video, he maintains this posture without significant movement."
Go forward,107,context,"The pedestrian is making a gesture with their hands, possibly indicating they want to cross the road."
Go forward,107,objective,The pedestrian is making a stop gesture.
Go forward,115,blank,A man in a black shirt is standing and moving his hands around.
Go forward,115,determine,The pedestrian is making a gesture with his hands.
Go forward,115,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain white background. His hands are raised with fingers spread apart, as if he is gesturing or explaining something. The motion of his hands appears to be slow and deliberate, suggesting that he might be emphasizing certain points while speaking."
Go forward,115,context,The pedestrian is making a stop gesture.
Go forward,115,objective,"The pedestrian is making a gesture with their hands, possibly indicating they are about to cross the road."
Go forward,123,blank,A man in a black shirt is standing and moving his hands.
Go forward,123,determine,The pedestrian is making a gesture with his hands.
Go forward,123,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He is standing in front of a plain white background. His hands are raised, with his fingers spread apart, as if he is gesturing or explaining something. The motion of his hands appears to be slow and deliberate, suggesting that he might be emphasizing certain points while speaking."
Go forward,123,context,"The pedestrian is making a gesture with their hands, possibly indicating they are about to cross the road or signaling for assistance."
Go forward,123,objective,"The pedestrian is making a gesture with their hands, possibly indicating they are about to cross the road or signaling for assistance."
Go forward,131,blank,"A man is standing in front of a white wall, wearing glasses and a black shirt. He has his hands up with palms facing forward as if he's about to catch something."
Go forward,131,determine,The pedestrian is making a gesture with his hands.
Go forward,131,bodyanalysis,"The pedestrian is a man wearing glasses and a black long-sleeved shirt. He stands in front of a plain white background, gesturing with his hands as he speaks. His movements are fluid and expressive, emphasizing points by raising or lowering his arms while keeping his body mostly stationary."
Go forward,131,context,"The pedestrian is making a gesture with their hands, possibly indicating they are about to cross the road or signaling for assistance."
Go forward,131,objective,"The pedestrian is making a gesture with their hands, possibly indicating they are about to cross the road."
Go forward,139,blank,A man in a black shirt is standing and moving his hands.
Go forward,139,determine,The pedestrian is making a gesture with his hands.
Go forward,139,bodyanalysis,"The pedestrian is a man wearing glasses and dressed in a black long-sleeved shirt paired with dark pants. He stands against a plain white background, facing the camera as he moves his hands fluidly up and down while speaking or gesturing. His short hair complements his focused demeanor throughout the video."
Go forward,139,context,"The pedestrian is making a gesture with their hand, possibly indicating they are about to cross the road or signaling for you to stop."
Go forward,139,objective,"The pedestrian is making a gesture with their hands, possibly indicating they are about to cross the road."
Go forward,147,blank,"A man is standing in front of a white wall, moving his hands and arms."
Go forward,147,determine,The pedestrian is making a gesture with his hand.
Go forward,147,bodyanalysis,"The pedestrian is a man wearing glasses, dressed in a black long-sleeved shirt and dark pants. He stands against a plain white wall with his right arm extended forward, palm facing outward, while his left hand rests by his side. His movements are slow and deliberate as he maintains this posture throughout the video."
Go forward,147,context,"The pedestrian is making a gesture with their hand, possibly indicating they want to cross the road."
Go forward,147,objective,The pedestrian is making a stop gesture.
Go forward,155,blank,"The man is standing in front of a white wall, wearing glasses and a black sweater. He repeatedly moves his hand up to his chest area while speaking."
Go forward,155,determine,The pedestrian is making a gesture with his hand.
Go forward,155,bodyanalysis,"The pedestrian is a man wearing glasses, dressed in a black long-sleeved shirt and dark pants. He stands against a plain white wall with his right arm extended forward, palm facing down, while the rest of his body remains still."
Go forward,155,context,"The pedestrian is making a gesture with their right hand, which could indicate they are signaling to stop or slow down."
Go forward,155,objective,The pedestrian is making a stop gesture.
Go forward,163,blank,A man in a black shirt is standing against the wall and moving his hands.
Go forward,163,determine,The pedestrian is making a gesture with his hand.
Go forward,163,bodyanalysis,"The pedestrian is a man wearing glasses, dressed in a black long-sleeved shirt and dark pants. He stands still against the white wall before moving his right arm slightly to adjust his position or gesture while speaking. His movements are minimal as he maintains focus on delivering information about how to make an object float using magnets."
Go forward,163,context,"The pedestrian is making a gesture with their hand, possibly indicating they are about to cross the road or signaling something."
Go forward,163,objective,"The pedestrian is making a gesture with their right hand, which appears to be pointing or indicating something."
Go forward,171,blank,A man in a black shirt and glasses is walking across the room.
Go forward,171,determine,The pedestrian is making a gesture with his hand.
Go forward,171,bodyanalysis,"The pedestrian is walking steadily towards the camera, maintaining a straight posture with his arms hanging naturally by his sides. His movements are smooth and continuous as he approaches directly in front of him against a plain white wall background."
Go forward,171,context,"The pedestrian is making a gesture with his right hand, which appears to be pointing or indicating something."
Go forward,171,objective,The pedestrian is standing still and not making any gestures.
